time,count
1488965419,13102
1488965486,13446
1488965542,13859
1488965602,14276
1488965663,14690
1488965724,14962
1488965789,15240
1488965847,15542
1488965908,15880
1488965968,16366
1488966031,16983
1488966090,17605
1488966151,18090
1488966216,18886
1488966273,19327
1488966335,19782
1488966395,20337
1488966458,20664
1488966517,21188
1488966578,22360
1488966639,22235
1488966707,21925
1488966762,22132
1488966823,22610
1488966885,22757
1488966947,22946
1488967006,23054
1488967066,23318
1488967127,23832
1488967188,23862
1488967250,24450
1488967310,24271
1488967371,24100
1488967432,24009
1488967493,24163
1488967554,24472
1488967615,24803
1488967677,25295
1488967738,25321
1488967799,25214
1488967860,25592
1488967920,25700
1488967983,26202
1488968043,26393
1488968105,26617
1488968165,26861
1488968226,27312
1488968288,27244
1488968352,27456
1488968410,27618
1488968470,28029
1488968534,27368
1488968591,26759
1488968653,26522
1488968716,26675
1488968775,26790
1488968837,26813
1488968897,26661
1488968958,27026
1488969019,26991
1488969088,26988
1488969142,27524
1488969203,27744
1488969264,28233
1488969325,28252
1488969390,28437
1488969447,28607
1488969507,28126
1488969568,27799
1488969629,27597
1488969689,28454
1488969752,28558
1488969813,30189
1488969874,31011
1488969934,31746
1488969995,32451
1488970056,33220
1488970118,33141
1488970179,33401
1488970241,33859
1488970302,33480
1488970363,33137
1488970423,33025
1488970486,33009
1488970545,33092
1488970608,33214
1488970668,35663
1488970729,35381
1488970789,34900
1488970850,34330
1488970911,34280
1488970972,34536
1488971034,33844
1488971094,33338
1488971155,32929
1488971216,32961
1488971278,32939
1488971338,33344
1488971399,34310
1488971460,34774
1488971521,34943
1488971582,34954
1488971643,35035
1488971705,34812
1488971766,35043
1488971827,35478
1488971888,35643
1488971948,35956
1488972020,35369
1488972070,34945
1488972131,34450
1488972192,36680
1488972253,39229
1488972330,40241
1488972376,40661
1488972436,41131
1488972497,41219
1488972558,41720
1488972632,42523
1488972680,42989
1488972741,42847
1488972802,43916
1488972866,43687
1488972933,39546
1488972986,38963
1488973045,40486
1488973107,40785
1488973168,40718
1488973231,41043
1488973291,41404
1488973352,41907
1488973413,42357
1488973473,42453
1488973538,41816
1488973595,41296
1488973656,41478
1488973718,41427
1488973778,42003
1488973839,42497
1488973902,41922
1488973962,41169
1488974023,40761
1488974083,40859
1488974144,41144
1488974205,42102
1488974266,41815
1488974328,41586
1488974389,40810
1488974449,40960
1488974511,41163
1488974571,41837
1488974632,41745
1488974693,41782
1488974754,42651
1488974817,44388
1488974877,43660
1488974937,42578
1488974998,41936
1488975060,42370
1488975121,42421
1488975185,43610
1488975242,43993
1488975304,43655
1488975364,42708
1488975431,42310
1488975486,42144
1488975547,42450
1488975623,42229
1488975669,42579
1488975730,42336
1488975791,41761
1488975853,41547
1488975922,42152
1488975975,43122
1488976036,43403
1488976098,44082
1488976157,44171
1488976226,44947
1488976279,46897
1488976343,48934
1488976401,48688
1488976463,48896
1488976601,50464
1488976647,48429
1488976711,45170
1488976771,46676
1488976891,43933
1488976953,44572
1488977013,43699
1488977083,44457
1488977134,43071
1488977195,44293
1488977256,43879
1488977318,42973
1488977378,42426
1488977442,41191
1488977501,43957
1488977561,43361
1488977623,45614
1488977683,45601
1488977745,45997
1488977806,48578
1488977867,46696
1488977929,49442
1488977992,49403
